Education Field,Program Name,County,Municipality,Multiple Municipalities,YH Points,Provider Admin Unit,Case Number,Year,Study Weeks,Study Years
Data/It,.Net Utvecklare,Västra Götaland,Göteborg,0,400,Plushögskolan Ab - Teknikhögskolan,MYH 2020/4403,2020,80,1.54
Data/It,.Net-Utvecklare,Stockholm,Stockholm,0,400,It-Högskolan Stockholm Ab,MYH 2020/5766,2020,80,1.54
Data/It,.Net-Utvecklare,Västra Götaland,Göteborg,0,400,It-Högskolan Sverige Ab,MYH 2020/5764,2020,80,1.54
Data/It,Agil Javautvecklare,Gävleborg,Gävle,0,400,Edugrade Ab,MYH 2020/5827,2020,80,1.54
Data/It,Agil Projektledare,Skåne,Malmö,0,225,Ihm Business School Ab Malmö,MYH 2020/5354,2020,45,0.87
Data/It,Agil Projektledare,Stockholm,Stockholm,0,225,Ihm Business School Ab Stockholm,MYH 2020/5326,2020,45,0.87
Data/It,Agil Systemutvecklare I Java Och Javascript,Norrbotten,Piteå,0,400,Lernia Utbildning Ab,MYH 2020/5071,2020,80,1.54
Data/It,Agile Project Manager,Stockholm,Stockholm,0,300,Changemaker Educations Ab,MYH 2020/4824,2020,60,1.15
Data/It,Applikationsutvecklare Mobila Enheter,Flera Kommuner,Flera Kommuner,1,400,Kyh Ab,MYH 2020/4432,2020,80,1.54
Data/It,Backend-Utvecklare,Flera Kommuner,Flera Kommuner,1,400,"Uddevalla Kommun, Vuxenutbildningen",MYH 2020/4560,2020,80,1.54
Data/It,Cloud And It-Infrastructure Specialist,Kalmar,Kalmar,0,400,"Kalmarsunds Gymnasieförbund, Axel Weüdelskolan",MYH 2020/4804,2020,80,1.54
Data/It,Cloud Developer Azure,Västra Götaland,Göteborg,0,400,It-Högskolan Sverige Ab,MYH 2020/5759,2020,80,1.54
Data/It,Data Analyst,Stockholm,Stockholm,0,400,Hyper Island Program Ab - Stockholm,MYH 2020/5145,2020,80,1.54
Data/It,Data Scientist,Flera Kommuner,Flera Kommuner,1,400,Ec Utbildning Ab Helsingborg,MYH 2020/5325,2020,80,1.54
Data/It,Data Scientist,Stockholm,Solna,0,400,Ec Utbildning Ab Stockholm,MYH 2020/5003,2020,80,1.54
Data/It,Devops Engineer,Skåne,Malmö,0,400,Jensen Education School Ab,MYH 2020/5725,2020,80,1.54
Data/It,Devops Engineer,Stockholm,Solna,0,400,Nackademin Ab,MYH 2020/5245,2020,80,1.54
Data/It,Devops Engineer,Stockholm,Stockholm,0,415,Chas Academy Ab,MYH 2020/5801,2020,83,1.6
Data/It,Front End Developer,Flera Kommuner,Flera Kommuner,1,400,Kyh Ab,MYH 2020/4521,2020,80,1.54
Data/It,Front End Developer Distans,Stockholm,Stockholm,0,400,Medieinstitutet I Sverige Ab,MYH 2020/5676,2020,80,1.54
Data/It,Front End Webbutvecklare,Skåne,Malmö,0,400,Grit Academy Ab,MYH 2020/4907,2020,80,1.54
Data/It,Frontend / App Developer,Stockholm,Stockholm,0,450,Changemaker Educations Ab,MYH 2020/4827,2020,90,1.73
Data/It,Frontendutvecklare,Värmland,Karlstad,0,400,Folkuniversitetet Kursverksamheten Vid Göteborgs Universitet,MYH 2020/5048,2020,80,1.54
Data/It,Frontend-Utvecklare,Stockholm,Solna,0,400,Nackademin Ab,MYH 2020/5302,2020,80,1.54
Data/It,Fullstack Webbutvecklare,Stockholm,Stockholm,0,420,Chas Academy Ab,MYH 2020/4926,2020,84,1.62
Data/It,Futuregames Spelprogrammerare,Flera Kommuner,Flera Kommuner,1,550,Changemaker Educations Ab,MYH 2020/4849,2020,110,2.12
Data/It,Internet Of Things Developer,Västra Götaland,Göteborg,0,410,Kyh Ab Göteborg,MYH 2020/4578,2020,82,1.58
Data/It,Ios/Android Developer,Stockholm,Stockholm,0,400,Stiftelsen Stockholms Tekniska Institut,MYH 2020/4821,2020,80,1.54
Data/It,It-Infrastructure And Cloud Engineer,Stockholm,Stockholm,0,400,Lernia Utbildning Ab,MYH 2020/5092,2020,80,1.54
Data/It,It-Infrastrukturspecialist,Stockholm,Solna,0,400,Nackademin Ab,MYH 2020/5317,2020,80,1.54
Data/It,It-Projektledare,Stockholm,Stockholm,0,300,It-Högskolan Stockholm Ab,MYH 2020/5803,2020,60,1.15
Data/It,It-Projektledare,Västra Götaland,Göteborg,0,300,It-Högskolan Sverige Ab,MYH 2020/5805,2020,60,1.15
Data/It,It-Säkerhetsspecialist,Flera Kommuner,Flera Kommuner,1,400,Plushögskolan Ab - Teknikhögskolan,MYH 2020/4925,2020,80,1.54
Data/It,It-Säkerhetstekniker,Stockholm,Solna,0,400,Nackademin Ab,MYH 2020/5322,2020,80,1.54
Data/It,Java Enterprise Utvecklare,Västra Götaland,Göteborg,0,400,"Göteborgs Stad, Yrgo",MYH 2020/5257,2020,80,1.54
Data/It,Javautvecklare,Stockholm,Stockholm,0,400,It-Högskolan Stockholm Ab,MYH 2020/5824,2020,80,1.54
Data/It,Java-Utvecklare,Skåne,Lund,0,400,Plushögskolan Ab - Teknikhögskolan,MYH 2020/4449,2020,80,1.54
Data/It,Kravanalytiker,Skåne,Malmö,0,400,Newton Kompetensutveckling Ab,MYH 2020/5125,2020,80,1.54
Data/It,Microsoft 365 Developer,Stockholm,Solna,0,400,Ec Utbildning Ab Stockholm,MYH 2020/5367,2020,80,1.54
Data/It,"Mjukvaruutvecklare, Inbyggda System - Malmö",Skåne,Malmö,0,400,Movant Ab,MYH 2020/4958,2020,80,1.54
Data/It,Moln- Och Virtualiseringstekniker,Flera Kommuner,Flera Kommuner,1,400,Folkuniversitetet - Stiftelsen Kursverksamheten Vid Uppsala Universitetet,MYH 2020/5240,2020,80,1.54
Data/It,Objektorienterad Programmering Med Ai-Kompetens,Halland,Halmstad,0,300,Handelsakademin I Göteborg Ab,MYH 2020/5049,2020,60,1.15
Data/It,Objektorienterad Programmering Med Ai-Kompetens,Skåne,Malmö,0,300,Handelsakademin I Göteborg Ab,MYH 2020/5051,2020,60,1.15
Data/It,"Playgroundsquad, Upplevelse- Och Spelprogrammering",Dalarna,Falun,0,450,Tension Education Ab,MYH 2020/4832,2020,90,1.73
Data/It,Programvarutestare,Flera Kommuner,Flera Kommuner,1,400,Kyh Ab,MYH 2020/4516,2020,80,1.54
Data/It,Pythonutvecklare Med Inriktning Ai,Västmanland,Västerås,0,400,Plushögskolan Ab - Teknikhögskolan,MYH 2020/5284,2020,80,1.54
Data/It,Spelprogrammerare,Stockholm,Stockholm,0,550,Tga Utbildning Ab,MYH 2020/4932,2020,110,2.12
Data/It,Systemingenjör,Västmanland,Arboga,0,400,"Arboga Kommun, Vuxenutbildningen",MYH 2020/5249,2020,80,1.54
Data/It,Systemutvecklare - Objektorienterad Systemutveckling,Västra Götaland,Göteborg,0,400,Handelsakademin I Göteborg Ab,MYH 2020/5216,2020,80,1.54
Data/It,Systemutvecklare .Net,Halland,Varberg,0,400,Campus Varberg/Varbergs Kommun,MYH 2020/5338,2020,80,1.54
Data/It,Systemutvecklare .Net Med Ai-Kompetens,Flera Kommuner,Flera Kommuner,1,405,Edugrade Ab,MYH 2020/5843,2020,81,1.56
Data/It,"Systemutvecklare Inriktning Automation För Smart, Säker Och Hållbar Livsmedelsproduktion",Kalmar,Kalmar,0,400,Lernia Utbildning Ab,MYH 2020/5151,2020,80,1.54
Data/It,Systemutvecklare Java,Västernorrland,Sundsvall,0,400,Yrkesakademin Yh Ab,MYH 2020/3743,2020,80,1.54
Data/It,Systemutvecklare.Net,Flera Kommuner,Flera Kommuner,1,400,Campus Nyköping,MYH 2020/5575,2020,80,1.54
Data/It,Utvecklare Inom Ai & Maskininlärning,Västra Götaland,Göteborg,0,400,It-Högskolan Sverige Ab,MYH 2020/5703,2020,80,1.54
Data/It,Ux Designer,Blekinge,Karlskrona,0,450,Hyper Island Program Ab - Karlskrona,MYH 2020/5414,2020,90,1.73
Data/It,Ux-Designer Med Kravkompetens,Stockholm,Stockholm,0,400,Chas Academy Ab,MYH 2020/5206,2020,80,1.54
Data/It,Webbutvecklare Fullstack Open Source,Stockholm,Solna,0,400,Nackademin Ab,MYH 2020/5351,2020,80,1.54
Data/It,Webbutvecklare Inriktning E-Handel,Skåne,Malmö,0,400,Grit Academy Ab,MYH 2020/4924,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Account Manager,Stockholm,Stockholm,0,400,Företagsekonomiska Institutet 1888 Ab,MYH 2020/5723,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Account Manager,Östergötland,Linköping,0,400,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4943,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Account Manager B2B,Skåne,Malmö,0,400,Ihm Business School Ab Malmö,MYH 2020/4593,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Affärsinriktad Redovisningsekonom,Värmland,Karlstad,0,425,Plushögskolan Ab - Affärshögskolan,MYH 2020/4444,2020,85,1.63
"Ekonomi, Administration Och Försäljning",Affärsinriktad Redovisningsekonom,Västra Götaland,Uddevalla,0,425,Plushögskolan Ab - Affärshögskolan,MYH 2020/4441,2020,85,1.63
"Ekonomi, Administration Och Försäljning",B2B-Säljare,Örebro,Örebro,0,400,Plushögskolan Ab - Affärshögskolan,MYH 2020/4466,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Business Developer,Blekinge,Karlskrona,0,325,Hyper Island Program Ab - Karlskrona,MYH 2020/5120,2020,65,1.25
"Ekonomi, Administration Och Försäljning",Butiksledare Distans,Stockholm,Stockholm,0,215,Stockholm School Of Business,MYH 2020/5718,2020,43,0.83
"Ekonomi, Administration Och Försäljning",Digital Analytics Specialist,Skåne,Malmö,0,415,Ihm Business School Ab Malmö,MYH 2020/4888,2020,83,1.6
"Ekonomi, Administration Och Försäljning",Digital Analytics Specialist,Stockholm,Stockholm,0,415,Ihm Business School Ab Stockholm,MYH 2020/4889,2020,83,1.6
"Ekonomi, Administration Och Försäljning",Digital Analytics Specialist,Västra Götaland,Göteborg,0,415,Ihm Business School Ab Göteborg,MYH 2020/4881,2020,83,1.6
"Ekonomi, Administration Och Försäljning",Digital Marketing Specialist,Stockholm,Stockholm,0,400,Ihm Business School Ab Stockholm,MYH 2020/4837,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Digital Marknadsförare,Västra Götaland,Göteborg,0,400,Sälj & Marknadshögskolan I Sverige Ab,MYH 2020/4350,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Digital Media Creative,Stockholm,Stockholm,0,450,Hyper Island Program Ab - Stockholm,MYH 2020/5170,2020,90,1.73
"Ekonomi, Administration Och Försäljning",Digital Redovisningsekonom/Konsult Med Löneadministration - Luleå,Norrbotten,Luleå,0,425,Nbi I Sverige Ab,MYH 2020/5010,2020,85,1.63
"Ekonomi, Administration Och Försäljning",E-Commerce Manager,Skåne,Malmö,0,400,Ihm Business School Ab Malmö,MYH 2020/5060,2020,80,1.54
"Ekonomi, Administration Och Försäljning",E-Commerce Manager,Stockholm,Stockholm,0,400,Ihm Business School Ab Stockholm,MYH 2020/5133,2020,80,1.54
"Ekonomi, Administration Och Försäljning",E-Commerce Manager,Västra Götaland,Göteborg,0,400,Ihm Business School Ab Göteborg,MYH 2020/5107,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Ekonomi- Och Redovisningskonsult,Stockholm,Stockholm,0,400,Ihm Business School Ab Stockholm,MYH 2020/4595,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Företagssäljare/B2B,Skåne,Lund,0,400,Hermods Ab Lund,MYH 2020/3816,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Försäkringsrådgivare/Skadereglerare/Riskbedömare,Stockholm,Stockholm,0,400,Företagsekonomiska Institutet 1888 Ab,MYH 2020/5865,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Hållbarhetsspecialist,Stockholm,Stockholm,0,400,Stockholms Internationella Handelsskola Ab,MYH 2020/4711,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Hälso- Och Vårdadministratör,Skåne,Landskrona,0,400,"Landskrona Stad, Yrkeshögskolan Landskrona",MYH 2020/5305,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Inköp & Supply Management,Norrbotten,Luleå,0,425,Nbi I Sverige Ab,MYH 2020/4974,2020,85,1.63
"Ekonomi, Administration Och Försäljning",Inköp & Supply Management,Västra Götaland,Göteborg,0,425,Nbi I Sverige Ab,MYH 2020/4975,2020,85,1.63
"Ekonomi, Administration Och Försäljning",Inköp & Supply Management,Kronoberg,Växjö,0,425,Nbi I Sverige Ab,MYH 2020/4971,2020,85,1.63
"Ekonomi, Administration Och Försäljning",Inköpare & Upphandlare,Västmanland,Västerås,0,415,Plushögskolan Ab - Affärshögskolan,MYH 2020/4061,2020,83,1.6
"Ekonomi, Administration Och Försäljning",International Account Manager,Stockholm,Stockholm,0,400,Ihm Business School Ab Stockholm,MYH 2020/4597,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Internationell Inköpare,Stockholm,Stockholm,0,400,Stockholms Internationella Handelsskola Ab,MYH 2020/4716,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Internationell Inköpare Inom Textil/Mode/Funktion,Västra Götaland,Borås,0,400,Stiftelsen Proteko - Nordiska Textilakademin,MYH 2020/5789,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Internationell Redovisningsekonom,Stockholm,Stockholm,0,400,Stockholms Internationella Handelsskola Ab,MYH 2020/4722,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Internationell Redovisningsekonom,Östergötland,Norrköping,0,400,Stockholms Internationella Handelsskola Ab,MYH 2020/4710,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Internationell Säljare Och Marknadsförare,Västra Götaland,Göteborg,0,400,Sälj & Marknadshögskolan I Sverige Ab,MYH 2020/4349,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Key Account Manager,Västra Götaland,Göteborg,0,200,Sälj & Marknadshögskolan I Sverige Ab,MYH 2020/4341,2020,40,0.77
"Ekonomi, Administration Och Försäljning","Kvalificerad Lönekonsult, Digitala Systemlösningar",Flera Kommuner,Flera Kommuner,1,400,Medborgarskolan I Stockholm - Påhlmans Handelsinstitut,MYH 2020/5449,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Lönekonsult,Skåne,Helsingborg,0,325,Competensum Skåne Nordväst Ab,MYH 2020/4988,2020,65,1.25
"Ekonomi, Administration Och Försäljning",Lönespecialist,Jämtland,Östersund,0,300,Iterum Education Ab,MYH 2020/5471,2020,60,1.15
"Ekonomi, Administration Och Försäljning",Lönespecialist,Västra Götaland,Göteborg,0,300,Iterum Education Ab,MYH 2020/5469,2020,60,1.15
"Ekonomi, Administration Och Försäljning",Lönespecialist,Östergötland,Linköping,0,300,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4615,2020,60,1.15
"Ekonomi, Administration Och Försäljning",Marketing Automation,Stockholm,Stockholm,0,400,Medieinstitutet I Sverige Ab,MYH 2020/5681,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Marknadskoordinator,Stockholm,Stockholm,0,320,Medieinstitutet I Sverige Ab,MYH 2020/5687,2020,64,1.23
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare,Dalarna,Falun,0,400,Folkuniversitetet - Stiftelsen Kursverksamheten Vid Uppsala Universitetet,MYH 2020/4230,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare,Flera Kommuner,Flera Kommuner,1,400,Campus Nyköping,MYH 2020/4215,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare,Skåne,Kristianstad,0,400,"Kristianstad Kommun, Vuxenutbildningen",MYH 2020/5166,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare,Stockholm,Stockholm,0,400,"Stockholms Stad, Frans Schartaus Handelsinstitut",MYH 2020/5719,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare,Västra Götaland,Göteborg,0,400,"Göteborgs Stad, Yrgo",MYH 2020/5395,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare,Västra Götaland,Göteborg,0,400,"Göteborgs Stad, Yrgo",MYH 2020/5670,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare,Västra Götaland,Vänersborg,0,400,"Kunskapsförbundet Väst, Vuxenutbildningen",MYH 2020/4540,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare/Koordinator,Halland,Varberg,0,400,Campus Varberg/Varbergs Kommun,MYH 2020/5307,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Medicinsk Sekreterare/Vårdadministratör,Västernorrland,Sundsvall,0,400,"Sundsvalls Kommun, Vuxenutbildningen",MYH 2020/4600,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Music Business Developer,Stockholm,Stockholm,0,380,Dmg Education,MYH 2020/5850,2020,76,1.46
"Ekonomi, Administration Och Försäljning",Offentlig Upphandlare,Stockholm,Stockholm,0,400,"Stockholms Stad, Frans Schartaus Handelsinstitut",MYH 2020/5646,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Offentlig Upphandlare,Västra Götaland,Göteborg,0,400,"Göteborgs Stad, Yrgo",MYH 2020/5655,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Offentlig Upphandlare/Inköpare,Jönköping,Jönköping,0,425,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4976,2020,85,1.63
"Ekonomi, Administration Och Försäljning",Onlinemarknadsförare,Skåne,Malmö,0,320,Medieinstitutet I Sverige Ab,MYH 2020/5696,2020,64,1.23
"Ekonomi, Administration Och Försäljning",Onlinemarknadsförare,Stockholm,Stockholm,0,320,Medieinstitutet I Sverige Ab,MYH 2020/5701,2020,64,1.23
"Ekonomi, Administration Och Försäljning",Public Bid Manager,Flera Kommuner,Flera Kommuner,1,400,Ihm Business School Ab Göteborg,MYH 2020/5293,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Redovisningsekonom,Västra Götaland,Göteborg,0,415,Hermods Ab Göteborg,MYH 2020/4120,2020,83,1.6
"Ekonomi, Administration Och Försäljning",Redovisningsekonom,Flera Kommuner,Flera Kommuner,1,430,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4610,2020,86,1.65
"Ekonomi, Administration Och Försäljning",Redovisningsekonom,Skåne,Eslöv,0,400,"Eslövs Kommun, Yrkeshögskolan I Eslöv",MYH 2020/4986,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Redovisningsekonom,Stockholm,Stockholm,0,430,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4795,2020,86,1.65
"Ekonomi, Administration Och Försäljning",Redovisningsekonom,Västra Götaland,Lidköping,0,430,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4614,2020,86,1.65
"Ekonomi, Administration Och Försäljning",Redovisningsekonom,Östergötland,Linköping,0,430,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4612,2020,86,1.65
"Ekonomi, Administration Och Försäljning",Redovisningskonsult,Skåne,Kristianstad,0,420,"Kristianstad Kommun, Vuxenutbildningen",MYH 2020/5187,2020,84,1.62
"Ekonomi, Administration Och Försäljning",Redovisningskonsult,Västra Götaland,Göteborg,0,410,Stockholm School Of Business,MYH 2020/5605,2020,82,1.58
"Ekonomi, Administration Och Försäljning",Strategiskt Inköp Och Upphandling,Stockholm,Stockholm,0,430,One Academy Ab,MYH 2020/5301,2020,86,1.65
"Ekonomi, Administration Och Försäljning",Säljare B2B,Skåne,Malmö,0,400,Stockholm School Of Business,MYH 2020/5665,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Technical Account Manager,Västra Götaland,Göteborg,0,420,Hermods Ab Göteborg,MYH 2020/4532,2020,84,1.62
"Ekonomi, Administration Och Försäljning",Visual Merchandiser,Stockholm,Stockholm,0,300,Stockholm School Of Business,MYH 2020/5732,2020,60,1.15
"Ekonomi, Administration Och Försäljning",Visual Merchandiser - Unified Commerce,Skåne,Malmö,0,400,Ihm Business School Ab Malmö,MYH 2020/4895,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Vårdadministratör,Östergötland,Linköping,0,400,Östsvenska Yrkeshögskolan Ab,MYH 2020/4980,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Vårdadministratör - Medicinsk Sekreterare,Värmland,Karlstad,0,400,"Karlstads Kommun, Yrkeshögskolan",MYH 2020/5356,2020,80,1.54
"Ekonomi, Administration Och Försäljning",Vårdadministratör - Medicinsk Sekreterare,Värmland,Kristinehamn,0,400,"Kristinehamns Kommun, Komvux",MYH 2020/4692,2020,80,1.54
Friskvård Och Kroppsvård,Hud- Och Massageterapeut,Stockholm,Stockholm,0,300,Yrkeshögskolan För Hudvård & Spa Ab,MYH 2020/5069,2020,60,1.15
Friskvård Och Kroppsvård,Hud- Och Spaterapeut,Västra Götaland,Göteborg,0,300,Yrkeshögskolan För Hudvård & Spa Ab,MYH 2020/5079,2020,60,1.15
"Hotell, Restaurang Och Turism",Affärsutvecklare Besöksnäring,Flera Kommuner,Flera Kommuner,1,400,Yrkesakademin Yh Ab,MYH 2020/5062,2020,80,1.54
"Hotell, Restaurang Och Turism","Arbetsledare, Måltidsservice",Stockholm,Stockholm,0,200,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4606,2020,40,0.77
"Hotell, Restaurang Och Turism",Arctic Hospitality Leader,Norrbotten,Boden,0,300,Changemaker Educations Ab,MYH 2020/4826,2020,60,1.15
"Hotell, Restaurang Och Turism",Destination Management,Stockholm,Stockholm,0,400,Tec Travel Education Centre Ab,MYH 2020/5642,2020,80,1.54
"Hotell, Restaurang Och Turism",Food & Beverage Manager,Flera Kommuner,Flera Kommuner,1,300,Företagsekonomiska Institutet 1888 Ab,MYH 2020/5890,2020,60,1.15
"Hotell, Restaurang Och Turism",Hotel Management,Stockholm,Stockholm,0,400,"Stockholms Stad, Frans Schartaus Handelsinstitut",MYH 2020/5565,2020,80,1.54
"Hotell, Restaurang Och Turism",Konceptutvecklare Event Och Besöksnäring,Stockholm,Stockholm,0,400,Ihm Business School Ab Stockholm,MYH 2020/4991,2020,80,1.54
"Hotell, Restaurang Och Turism",Konceptutvecklare Event Och Besöksnäring,Västra Götaland,Göteborg,0,400,Ihm Business School Ab Göteborg,MYH 2020/4984,2020,80,1.54
"Hotell, Restaurang Och Turism",Operativ Ledare – Inriktning Revenue Management,Skåne,Båstad,0,150,Båstad Kommun Akademi Båstad,MYH 2020/5702,2020,30,0.58
"Hotell, Restaurang Och Turism",Revenue Management  & Data Analyst,Stockholm,Stockholm,0,200,"Stockholms Stad, Frans Schartaus Handelsinstitut",MYH 2020/5864,2020,40,0.77
"Hotell, Restaurang Och Turism",Trac Internationell Turism- Och Resekonsult Med Iata,Skåne,Malmö,0,400,Tec Travel Education Centre Ab,MYH 2020/5649,2020,80,1.54
"Hotell, Restaurang Och Turism",Trac Internationell Turism- Och Resekonsult Med Iata,Stockholm,Stockholm,0,400,Tec Travel Education Centre Ab,MYH 2020/5645,2020,80,1.54
"Hotell, Restaurang Och Turism",Trac Turism -Och Resekonsult,Stockholm,Stockholm,0,400,"Stockholms Stad, Frans Schartaus Handelsinstitut",MYH 2020/5308,2020,80,1.54
"Hotell, Restaurang Och Turism",Trac Turism- Och Resekonsult,Västra Götaland,Göteborg,0,400,"Göteborgs Stad, Yrgo",MYH 2020/5406,2020,80,1.54
Hälso- Och Sjukvård Samt Socialt Arbete,Ambulanssjukvårdare,Stockholm,Stockholm,0,200,Medlearn Ab,MYH 2020/5349,2020,40,0.77
Hälso- Och Sjukvård Samt Socialt Arbete,Ambulanssjukvårdare,Västra Götaland,Skövde,0,200,"Skövde Kommun, Skövde Yrkeshögskola",MYH 2020/5330,2020,40,0.77
Hälso- Och Sjukvård Samt Socialt Arbete,Apotekstekniker,Jönköping,Jönköping,0,300,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4481,2020,60,1.15
Hälso- Och Sjukvård Samt Socialt Arbete,Apotekstekniker,Västernorrland,Sundsvall,0,300,Lernia Utbildning Ab,MYH 2020/5128,2020,60,1.15
Hälso- Och Sjukvård Samt Socialt Arbete,Apotekstekniker,Östergötland,Linköping,0,300,Lernia Utbildning Ab,MYH 2020/5130,2020,60,1.15
Hälso- Och Sjukvård Samt Socialt Arbete,Barnspecialiserad Undersköterska Med Inriktning Mot Funktionsnedsättning,Värmland,Karlstad,0,200,"Karlstads Kommun, Yrkeshögskolan",MYH 2020/5393,2020,40,0.77
Hälso- Och Sjukvård Samt Socialt Arbete,Behandlingsassistent,Värmland,Forshaga,0,400,"Forshaga Kommun, Forshaga Yrkeshögskola",MYH 2020/5189,2020,80,1.54
Hälso- Och Sjukvård Samt Socialt Arbete,Behandlingspedagog,Södermanland,Nyköping,0,400,Campus Nyköping,MYH 2020/3237,2020,80,1.54
Hälso- Och Sjukvård Samt Socialt Arbete,Behandlingspedagog,Västernorrland,Sundsvall,0,400,Yrkesakademin Yh Ab,MYH 2020/5359,2020,80,1.54
Hälso- Och Sjukvård Samt Socialt Arbete,Behandlingspedagog - Neuropsykiatriska Funktionsnedsättningar,Jönköping,Eksjö,0,400,Högskolan För Lärande Och Kommunikation I Jönköping Ab,MYH 2020/5288,2020,80,1.54
Hälso- Och Sjukvård Samt Socialt Arbete,Behandlingspedagog/Socialpedagog,Stockholm,Stockholm,0,400,Stadsmissionens Yrkeshögskola,MYH 2020/5318,2020,80,1.54
Hälso- Och Sjukvård Samt Socialt Arbete,Demens- Och Äldrepsykiatrispecialiserad Undersköterska,Västerbotten,Skellefteå,0,200,Skellefteå Kommun Vuxenutbildningen,MYH 2020/3833,2020,40,0.77
Hälso- Och Sjukvård Samt Socialt Arbete,Instrument- Och Steriltekniker,Stockholm,Stockholm,0,315,Plushögskolan Ab - Vårdyrkeshögskolan,MYH 2020/4454,2020,63,1.21
Hälso- Och Sjukvård Samt Socialt Arbete,Instrument- Och Steriltekniker,Västerbotten,Umeå,0,315,Plushögskolan Ab - Vårdyrkeshögskolan,MYH 2020/4298,2020,63,1.21
Hälso- Och Sjukvård Samt Socialt Arbete,Instrument- Och Steriltekniker,Västra Götaland,Göteborg,0,315,Hermods Ab Göteborg,MYH 2020/3806,2020,63,1.21
Hälso- Och Sjukvård Samt Socialt Arbete,Instrument- Och Steriltekniker,Flera Kommuner,Flera Kommuner,1,315,Plushögskolan Ab - Vårdyrkeshögskolan,MYH 2020/4448,2020,63,1.21
Hälso- Och Sjukvård Samt Socialt Arbete,Integrationspedagog Med Arbetsmarknadskompetens,Gävleborg,Hudiksvall,0,225,Hudiksvall Kommun Cul,MYH 2020/4648,2020,45,0.87
Hälso- Och Sjukvård Samt Socialt Arbete,Medicinsk Fotterapeut,Jönköping,Tranås,0,300,Tuc Sweden Ab - Yrkeshögskola,MYH 2020/4799,2020,60,1.15
Hälso- Och Sjukvård Samt Socialt Arbete,Medicinsk Fotterapeut,Västernorrland,Örnsköldsvik,0,300,Kunskap & Kompetens I Sverige Ab,MYH 2020/5488,2020,60,1.15
Hälso- Och Sjukvård Samt Socialt Arbete,Medicinsk Fotterapeut,Västra Götaland,Göteborg,0,300,"Göteborgs Stad, Yrgo",MYH 2020/5464,2020,60,1.15
Hälso- Och Sjukvård Samt Socialt Arbete,Psykiatrispecialiserad Undersköterska / Skötare / Boendestödjare,Kronoberg,Växjö,0,200,"Region Kronoberg, Yh Region Kronoberg",MYH 2020/4594,2020,40,0.77
Hälso- Och Sjukvård Samt Socialt Arbete,Psykiatrispecialiserad Undersköterska/Skötare/Stödpedagog,Flera Kommuner,Flera Kommuner,1,200,"Göteborgs Stad, Yrgo",MYH 2020/5461,2020,40,0.77
